id_venda,data_venda,cliente,produto,categoria,regiao,quantidade,preco_unitario,receita_total,mes,mes_nome,trimestre,ano,faixa_receita_item
33,2024-02-11,Cliente_017,Teclado,Periféricos,Sul,10,215.48,2154.7999999999997,2,February,Q1,2024,Médio Valor
34,2024-07-21,Cliente_049,Mouse,Periféricos,Sudeste,6,110.59,663.54,7,July,Q3,2024,Médio Valor
35,2024-10-15,Cliente_017,Notebook,Computadores,Sul,8,3627.22,29017.76,10,October,Q4,2024,Alto Valor
36,2024-07-08,Cliente_020,Tablet,Celulares,Norte,2,2004.81,4009.62,7,July,Q3,2024,Médio Valor
37,2024-10-10,Cliente_009,Headset,Periféricos,Nordeste,9,298.32,2684.88,10,October,Q4,2024,Médio Valor
38,2024-03-20,Cliente_014,Notebook,Computadores,Nordeste,2,3754.54,7509.08,3,March,Q1,2024,Alto Valor
39,2024-01-27,Cliente_001,Teclado,Periféricos,Nordeste,8,231.33,1850.64,1,January,Q1,2024,Médio Valor
40,2024-05-14,Cliente_036,Headset,Periféricos,Sudeste,3,364.4,1093.1999999999998,5,May,Q2,2024,Médio Valor
41,2024-12-19,Cliente_038,Notebook,Computadores,Norte,2,3967.3,7934.6,12,December,Q4,2024,Alto Valor
42,2024-06-06,Cliente_003,Smartphone,Celulares,Nordeste,7,1954.11,13678.769999999999,6,June,Q2,2024,Alto Valor
43,2024-06-30,Cliente_040,Smartphone,Celulares,Sul,4,2310.18,9240.72,6,June,Q2,2024,Alto Valor
45,2024-12-25,Cliente_015,Headset,Periféricos,Sul,4,325.51,1302.04,12,December,Q4,2024,Médio Valor
46,2024-04-26,Cliente_018,Headset,Periféricos,Sudeste,8,334.21,2673.68,4,April,Q2,2024,Médio Valor
47,2024-09-17,Cliente_002,Headset,Periféricos,Sudeste,5,334.37,1671.85,9,September,Q3,2024,Médio Valor
49,2024-10-22,Cliente_034,Teclado,Periféricos,Norte,9,221.17,1990.53,10,October,Q4,2024,Médio Valor
50,2024-02-05,Cliente_043,Mouse,Periféricos,Sudeste,4,115.11,460.44,2,February,Q1,2024,Baixo Valor
51,2024-12-07,Cliente_009,Mouse,Periféricos,Sul,5,120.26,601.3000000000001,12,December,Q4,2024,Médio Valor
52,2024-03-30,Cliente_001,Monitor,Computadores,Nordeste,7,1263.83,8846.81,3,March,Q1,2024,Alto Valor
53,2024-10-23,Cliente_044,Tablet,Celulares,Sul,4,1762.14,7048.56,10,October,Q4,2024,Alto Valor
54,2024-03-27,Cliente_040,Teclado,Periféricos,Nordeste,8,272.03,2176.24,3,March,Q1,2024,Médio Valor
55,2024-04-25,Cliente_031,Notebook,Computadores,Norte,4,3681.44,14725.76,4,April,Q2,2024,Alto Valor
56,2024-11-18,Cliente_026,Headset,Periféricos,Sul,2,345.32,690.64,11,November,Q4,2024,Médio Valor
57,2024-02-24,Cliente_045,Smartphone,Celulares,Norte,1,2459.16,2459.16,2,February,Q1,2024,Médio Valor
58,2024-03-03,Cliente_036,Monitor,Computadores,Norte,1,1220.67,1220.67,3,March,Q1,2024,Médio Valor
59,2024-09-15,Cliente_011,Tablet,Celulares,Centro-Oeste,8,1860.83,14886.64,9,September,Q3,2024,Alto Valor
60,2024-11-22,Cliente_016,Monitor,Computadores,Nordeste,5,1290.64,6453.200000000001,11,November,Q4,2024,Alto Valor
61,2024-04-30,Cliente_009,Monitor,Computadores,Sul,2,1276.88,2553.76,4,April,Q2,2024,Médio Valor
62,2024-12-27,Cliente_030,Smartphone,Celulares,Centro-Oeste,7,2328.01,16296.070000000002,12,December,Q4,2024,Alto Valor
63,2024-07-18,Cliente_049,Notebook,Computadores,Norte,4,3849.54,15398.16,7,July,Q3,2024,Alto Valor
64,2024-06-29,Cliente_027,Monitor,Computadores,Norte,8,1022.12,8176.96,6,June,Q2,2024,Alto Valor
65,2024-04-22,Cliente_025,Mouse,Periféricos,Nordeste,9,130.8,1177.2,4,April,Q2,2024,Médio Valor
66,2024-08-27,Cliente_026,Mouse,Periféricos,Norte,7,128.07,896.49,8,August,Q3,2024,Médio Valor
67,2024-08-07,Cliente_025,Teclado,Periféricos,Nordeste,1,218.8,218.8,8,August,Q3,2024,Baixo Valor
68,2024-07-13,Cliente_006,Smartphone,Celulares,Centro-Oeste,8,2085.72,16685.76,7,July,Q3,2024,Alto Valor
69,2024-06-28,Cliente_003,Notebook,Computadores,Sudeste,9,3029.69,27267.21,6,June,Q2,2024,Alto Valor
70,2024-11-14,Cliente_037,Smartphone,Celulares,Sul,4,2423.89,9695.56,11,November,Q4,2024,Alto Valor
71,2024-03-26,Cliente_050,Monitor,Computadores,Sul,5,1296.08,6480.4,3,March,Q1,2024,Alto Valor
72,2024-06-08,Cliente_046,Tablet,Celulares,Sul,2,1842.49,3684.98,6,June,Q2,2024,Médio Valor
73,2024-11-17,Cliente_044,Notebook,Computadores,Norte,10,3700.15,37001.5,11,November,Q4,2024,Alto Valor
74,2024-10-16,Cliente_024,Headset,Periféricos,Sudeste,2,381.1,762.2,10,October,Q4,2024,Médio Valor
75,2024-08-03,Cliente_041,Teclado,Periféricos,Centro-Oeste,6,213.45,1280.6999999999998,8,August,Q3,2024,Médio Valor
76,2024-09-24,Cliente_035,Mouse,Periféricos,Centro-Oeste,3,117.68,353.04,9,September,Q3,2024,Baixo Valor
77,2024-10-30,Cliente_006,Monitor,Computadores,Nordeste,7,1317.26,9220.82,10,October,Q4,2024,Alto Valor
78,2024-10-18,Cliente_021,Monitor,Computadores,Sul,4,1290.17,5160.68,10,October,Q4,2024,Alto Valor
79,2024-05-12,Cliente_018,Monitor,Computadores,Norte,4,1147.74,4590.96,5,May,Q2,2024,Médio Valor
80,2024-02-13,Cliente_016,Notebook,Computadores,Centro-Oeste,9,3970.47,35734.229999999996,2,February,Q1,2024,Alto Valor
81,2024-01-09,Cliente_020,Mouse,Periféricos,Norte,8,118.13,945.04,1,January,Q1,2024,Médio Valor
82,2024-06-25,Cliente_045,Tablet,Celulares,Centro-Oeste,8,1828.88,14631.04,6,June,Q2,2024,Alto Valor
83,2024-03-02,Cliente_049,Tablet,Celulares,Sul,5,1665.76,8328.8,3,March,Q1,2024,Alto Valor
84,2024-05-21,Cliente_019,Smartphone,Celulares,Sudeste,4,2357.48,9429.92,5,May,Q2,2024,Alto Valor
86,2024-03-05,Cliente_001,Notebook,Computadores,Norte,9,3281.74,29535.659999999996,3,March,Q1,2024,Alto Valor
87,2024-06-23,Cliente_031,Tablet,Celulares,Sudeste,8,1788.51,14308.08,6,June,Q2,2024,Alto Valor
88,2024-02-07,Cliente_037,Headset,Periféricos,Nordeste,2,339.57,679.14,2,February,Q1,2024,Médio Valor
89,2024-08-01,Cliente_034,Notebook,Computadores,Centro-Oeste,4,3099.37,12397.48,8,August,Q3,2024,Alto Valor
90,2024-10-28,Cliente_040,Monitor,Computadores,Sudeste,8,1127.05,9016.4,10,October,Q4,2024,Alto Valor
91,2024-05-15,Cliente_005,Headset,Periféricos,Sul,4,363.18,1452.72,5,May,Q2,2024,Médio Valor
93,2024-11-16,Cliente_008,Notebook,Computadores,Norte,4,3945.11,15780.44,11,November,Q4,2024,Alto Valor
94,2024-03-13,Cliente_048,Smartphone,Celulares,Norte,3,2469.55,7408.650000000001,3,March,Q1,2024,Alto Valor
95,2024-12-18,Cliente_035,Tablet,Celulares,Centro-Oeste,8,1597.15,12777.2,12,December,Q4,2024,Alto Valor
96,2024-08-09,Cliente_015,Monitor,Computadores,Norte,2,1235.29,2470.58,8,August,Q3,2024,Médio Valor
97,2024-12-10,Cliente_012,Teclado,Periféricos,Centro-Oeste,1,287.47,287.47,12,December,Q4,2024,Baixo Valor
98,2024-04-02,Cliente_006,Teclado,Periféricos,Centro-Oeste,8,281.21,2249.68,4,April,Q2,2024,Médio Valor
99,2024-12-09,Cliente_032,Tablet,Celulares,Nordeste,7,1709.99,11969.93,12,December,Q4,2024,Alto Valor
101,2024-01-01,Cliente_013,Headset,Periféricos,Norte,9,384.12,3457.08,1,January,Q1,2024,Médio Valor
102,2024-11-16,Cliente_009,Tablet,Celulares,Nordeste,10,1938.48,19384.8,11,November,Q4,2024,Alto Valor
103,2024-11-18,Cliente_036,Monitor,Computadores,Sudeste,8,1063.71,8509.68,11,November,Q4,2024,Alto Valor
104,2024-02-28,Cliente_032,Teclado,Periféricos,Nordeste,7,219.49,1536.43,2,February,Q1,2024,Médio Valor
105,2024-09-04,Cliente_025,Teclado,Periféricos,Sul,5,243.66,1218.3,9,September,Q3,2024,Médio Valor
106,2024-03-10,Cliente_027,Teclado,Periféricos,Nordeste,9,268.47,2416.2300000000005,3,March,Q1,2024,Médio Valor
107,2024-01-02,Cliente_043,Headset,Periféricos,Centro-Oeste,9,325.55,2929.9500000000003,1,January,Q1,2024,Médio Valor
108,2024-09-04,Cliente_030,Headset,Periféricos,Nordeste,3,344.39,1033.17,9,September,Q3,2024,Médio Valor
109,2024-05-02,Cliente_003,Headset,Periféricos,Nordeste,4,400.48,1601.92,5,May,Q2,2024,Médio Valor
110,2024-07-14,Cliente_010,Mouse,Periféricos,Centro-Oeste,8,127.39,1019.12,7,July,Q3,2024,Médio Valor
111,2024-10-29,Cliente_007,Notebook,Computadores,Norte,3,3502.41,10507.23,10,October,Q4,2024,Alto Valor
112,2024-07-28,Cliente_017,Monitor,Computadores,Nordeste,1,1280.08,1280.08,7,July,Q3,2024,Médio Valor
113,2024-06-17,Cliente_021,Teclado,Periféricos,Centro-Oeste,7,261.24,1828.68,6,June,Q2,2024,Médio Valor
114,2024-02-05,Cliente_015,Headset,Periféricos,Sudeste,9,301.27,2711.43,2,February,Q1,2024,Médio Valor
115,2024-12-26,Cliente_002,Monitor,Computadores,Sudeste,2,1293.73,2587.46,12,December,Q4,2024,Médio Valor
116,2024-07-10,Cliente_044,Tablet,Celulares,Sul,1,1688.42,1688.42,7,July,Q3,2024,Médio Valor
117,2024-07-14,Cliente_010,Smartphone,Celulares,Sul,3,1922.12,5766.36,7,July,Q3,2024,Alto Valor
119,2024-06-25,Cliente_045,Smartphone,Celulares,Nordeste,2,2161.54,4323.08,6,June,Q2,2024,Médio Valor
120,2024-07-15,Cliente_023,Monitor,Computadores,Norte,5,1091.72,5458.6,7,July,Q3,2024,Alto Valor
122,2024-05-26,Cliente_015,Teclado,Periféricos,Sul,8,274.96,2199.68,5,May,Q2,2024,Médio Valor
123,2024-12-03,Cliente_041,Teclado,Periféricos,Sudeste,5,263.33,1316.6499999999999,12,December,Q4,2024,Médio Valor
124,2024-07-05,Cliente_048,Tablet,Celulares,Centro-Oeste,8,1548.02,12384.16,7,July,Q3,2024,Alto Valor
125,2024-10-03,Cliente_018,Smartphone,Celulares,Sul,4,1957.23,7828.92,10,October,Q4,2024,Alto Valor
126,2024-05-31,Cliente_005,Tablet,Celulares,Sul,8,2052.39,16419.12,5,May,Q2,2024,Alto Valor
127,2024-12-11,Cliente_024,Headset,Periféricos,Sudeste,4,387.81,1551.24,12,December,Q4,2024,Médio Valor
128,2024-10-01,Cliente_017,Headset,Periféricos,Norte,7,298.96,2092.72,10,October,Q4,2024,Médio Valor
129,2024-04-29,Cliente_021,Monitor,Computadores,Norte,6,1059.0,6354.0,4,April,Q2,2024,Alto Valor
130,2024-08-25,Cliente_009,Smartphone,Celulares,Sudeste,2,2289.37,4578.74,8,August,Q3,2024,Médio Valor
131,2024-02-29,Cliente_030,Notebook,Computadores,Nordeste,5,4020.72,20103.6,2,February,Q1,2024,Alto Valor
132,2024-03-20,Cliente_040,Mouse,Periféricos,Centro-Oeste,9,117.09,1053.81,3,March,Q1,2024,Médio Valor
133,2024-04-21,Cliente_007,Tablet,Celulares,Nordeste,1,1902.75,1902.75,4,April,Q2,2024,Médio Valor
134,2024-05-21,Cliente_030,Teclado,Periféricos,Sudeste,6,217.04,1302.24,5,May,Q2,2024,Médio Valor
135,2024-11-01,Cliente_009,Mouse,Periféricos,Norte,4,125.1,500.4,11,November,Q4,2024,Médio Valor
136,2024-10-10,Cliente_022,Smartphone,Celulares,Sul,2,2417.68,4835.36,10,October,Q4,2024,Médio Valor
137,2024-03-15,Cliente_008,Headset,Periféricos,Sudeste,10,297.8,2978.0,3,March,Q1,2024,Médio Valor
139,2024-08-31,Cliente_029,Teclado,Periféricos,Norte,2,268.42,536.84,8,August,Q3,2024,Médio Valor
140,2024-12-03,Cliente_004,Smartphone,Celulares,Centro-Oeste,10,1898.62,18986.199999999997,12,December,Q4,2024,Alto Valor
141,2024-02-25,Cliente_006,Headset,Periféricos,Nordeste,7,342.26,2395.8199999999997,2,February,Q1,2024,Médio Valor
142,2024-05-20,Cliente_025,Teclado,Periféricos,Norte,3,217.43,652.29,5,May,Q2,2024,Médio Valor
143,2024-11-05,Cliente_042,Teclado,Periféricos,Norte,5,246.53,1232.65,11,November,Q4,2024,Médio Valor
144,2024-04-26,Cliente_047,Mouse,Periféricos,Sudeste,4,117.48,469.92,4,April,Q2,2024,Baixo Valor
145,2024-05-10,Cliente_005,Tablet,Celulares,Sudeste,7,1698.76,11891.32,5,May,Q2,2024,Alto Valor
146,2024-02-19,Cliente_004,Headset,Periféricos,Norte,2,307.29,614.58,2,February,Q1,2024,Médio Valor
147,2024-03-03,Cliente_028,Teclado,Periféricos,Sudeste,9,237.22,2134.98,3,March,Q1,2024,Médio Valor
148,2024-02-23,Cliente_015,Tablet,Celulares,Sudeste,10,1698.72,16987.2,2,February,Q1,2024,Alto Valor
149,2024-05-22,Cliente_050,Tablet,Celulares,Norte,9,1728.48,15556.32,5,May,Q2,2024,Alto Valor
150,2024-12-02,Cliente_045,Teclado,Periféricos,Nordeste,9,214.47,1930.23,12,December,Q4,2024,Médio Valor
151,2024-03-14,Cliente_041,Tablet,Celulares,Sudeste,6,1533.3,9199.8,3,March,Q1,2024,Alto Valor
152,2024-08-02,Cliente_021,Notebook,Computadores,Norte,9,3200.89,28808.01,8,August,Q3,2024,Alto Valor
153,2024-03-20,Cliente_018,Teclado,Periféricos,Centro-Oeste,2,278.75,557.5,3,March,Q1,2024,Médio Valor
154,2024-08-14,Cliente_023,Mouse,Periféricos,Centro-Oeste,7,119.48,836.36,8,August,Q3,2024,Médio Valor
155,2024-10-30,Cliente_026,Notebook,Computadores,Norte,5,3687.13,18435.65,10,October,Q4,2024,Alto Valor
156,2024-04-18,Cliente_008,Notebook,Computadores,Sudeste,1,3189.64,3189.64,4,April,Q2,2024,Médio Valor
157,2024-07-13,Cliente_043,Monitor,Computadores,Nordeste,7,1083.25,7582.75,7,July,Q3,2024,Alto Valor
158,2024-01-22,Cliente_021,Notebook,Computadores,Norte,7,3879.85,27158.95,1,January,Q1,2024,Alto Valor
159,2024-11-23,Cliente_021,Monitor,Computadores,Sul,10,1165.59,11655.9,11,November,Q4,2024,Alto Valor
160,2024-12-19,Cliente_016,Headset,Periféricos,Centro-Oeste,10,345.81,3458.1,12,December,Q4,2024,Médio Valor
161,2024-07-21,Cliente_050,Teclado,Periféricos,Sul,7,251.8,1762.6000000000001,7,July,Q3,2024,Médio Valor
162,2024-09-28,Cliente_047,Notebook,Computadores,Sul,9,3639.89,32759.01,9,September,Q3,2024,Alto Valor
163,2024-04-11,Cliente_005,Smartphone,Celulares,Sul,2,1966.65,3933.3,4,April,Q2,2024,Médio Valor
164,2024-10-15,Cliente_037,Headset,Periféricos,Norte,8,346.22,2769.76,10,October,Q4,2024,Médio Valor
165,2024-02-04,Cliente_038,Tablet,Celulares,Sudeste,6,1611.52,9669.119999999999,2,February,Q1,2024,Alto Valor
166,2024-08-24,Cliente_005,Tablet,Celulares,Sudeste,9,1570.06,14130.539999999999,8,August,Q3,2024,Alto Valor
167,2024-08-24,Cliente_003,Teclado,Periféricos,Centro-Oeste,10,250.53,2505.3,8,August,Q3,2024,Médio Valor
168,2024-06-13,Cliente_029,Headset,Periféricos,Sudeste,10,365.94,3659.4,6,June,Q2,2024,Médio Valor
169,2024-02-13,Cliente_029,Headset,Periféricos,Centro-Oeste,6,400.65,2403.8999999999996,2,February,Q1,2024,Médio Valor
170,2024-07-05,Cliente_022,Teclado,Periféricos,Norte,9,258.24,2324.16,7,July,Q3,2024,Médio Valor
171,2024-02-18,Cliente_043,Notebook,Computadores,Norte,6,3044.21,18265.260000000002,2,February,Q1,2024,Alto Valor
172,2024-10-25,Cliente_042,Headset,Periféricos,Centro-Oeste,3,332.5,997.5,10,October,Q4,2024,Médio Valor
173,2024-02-13,Cliente_009,Smartphone,Celulares,Norte,10,2337.83,23378.3,2,February,Q1,2024,Alto Valor
174,2024-01-10,Cliente_050,Notebook,Computadores,Centro-Oeste,7,3508.91,24562.37,1,January,Q1,2024,Alto Valor
175,2024-03-20,Cliente_050,Smartphone,Celulares,Norte,4,2529.98,10119.92,3,March,Q1,2024,Alto Valor
176,2024-06-21,Cliente_010,Headset,Periféricos,Sul,9,301.46,2713.14,6,June,Q2,2024,Médio Valor
177,2024-03-25,Cliente_047,Smartphone,Celulares,Sul,10,2403.97,24039.699999999997,3,March,Q1,2024,Alto Valor
178,2024-08-17,Cliente_031,Monitor,Computadores,Sul,10,1122.57,11225.699999999999,8,August,Q3,2024,Alto Valor
179,2024-08-24,Cliente_027,Tablet,Celulares,Sul,10,2061.6,20616.0,8,August,Q3,2024,Alto Valor
180,2024-03-11,Cliente_024,Headset,Periféricos,Norte,4,381.63,1526.52,3,March,Q1,2024,Médio Valor
181,2024-05-25,Cliente_033,Notebook,Computadores,Sul,9,3868.72,34818.479999999996,5,May,Q2,2024,Alto Valor
182,2024-04-23,Cliente_027,Headset,Periféricos,Sudeste,7,307.13,2149.91,4,April,Q2,2024,Médio Valor
183,2024-07-16,Cliente_007,Monitor,Computadores,Nordeste,9,1154.63,10391.670000000002,7,July,Q3,2024,Alto Valor
184,2024-05-26,Cliente_049,Headset,Periféricos,Centro-Oeste,3,311.95,935.8499999999999,5,May,Q2,2024,Médio Valor
186,2024-05-27,Cliente_041,Teclado,Periféricos,Norte,7,220.84,1545.88,5,May,Q2,2024,Médio Valor
188,2024-06-29,Cliente_006,Tablet,Celulares,Norte,7,1530.84,10715.88,6,June,Q2,2024,Alto Valor
189,2024-10-05,Cliente_025,Tablet,Celulares,Centro-Oeste,2,2044.84,4089.68,10,October,Q4,2024,Médio Valor
190,2024-05-09,Cliente_016,Notebook,Computadores,Sudeste,7,4005.09,28035.63,5,May,Q2,2024,Alto Valor
191,2024-06-19,Cliente_042,Headset,Periféricos,Sul,10,374.69,3746.9,6,June,Q2,2024,Médio Valor
192,2024-09-02,Cliente_050,Headset,Periféricos,Centro-Oeste,8,400.49,3203.92,9,September,Q3,2024,Médio Valor
193,2024-04-12,Cliente_026,Notebook,Computadores,Norte,5,3186.67,15933.35,4,April,Q2,2024,Alto Valor
194,2024-11-27,Cliente_042,Monitor,Computadores,Nordeste,5,1033.18,5165.900000000001,11,November,Q4,2024,Alto Valor
195,2024-08-11,Cliente_025,Tablet,Celulares,Nordeste,2,1961.64,3923.28,8,August,Q3,2024,Médio Valor
196,2024-07-07,Cliente_047,Smartphone,Celulares,Centro-Oeste,8,2326.77,18614.16,7,July,Q3,2024,Alto Valor
197,2024-04-02,Cliente_043,Notebook,Computadores,Nordeste,7,3607.58,25253.059999999998,4,April,Q2,2024,Alto Valor
198,2024-08-06,Cliente_047,Tablet,Celulares,Nordeste,8,1855.42,14843.36,8,August,Q3,2024,Alto Valor
199,2024-01-30,Cliente_048,Teclado,Periféricos,Sul,7,233.09,1631.63,1,January,Q1,2024,Médio Valor
