id_venda,data_venda,cliente,produto,categoria,regiao,quantidade,preco_unitario
28,2024-05-01,Cliente_026,Headset,Periféricos,Sudeste,1.0,399.24
29,2024-07-18,Cliente_028,Smartphone,Celulares,Norte,7.0,1871.42
30,2024-05-31,Cliente_004,Mouse,Periféricos,Nordeste,8.0,107.57
31,2024-09-14,Cliente_033,Notebook,Computadores,Sudeste,1.0,3588.39
32,2024-02-04,Cliente_037,Headset,Periféricos,Sul,3.0,304.69
33,2024-02-11,Cliente_017,Teclado,Periféricos,Sul,10.0,215.48
34,2024-07-21,Cliente_049,Mouse,Periféricos,Sudeste,6.0,110.59
35,2024-10-15,Cliente_017,Notebook,Computadores,Sul,8.0,3627.22
36,2024-07-08,Cliente_020,Tablet,Celulares,Norte,2.0,2004.81
37,2024-10-10,Cliente_009,Headset,Periféricos,Nordeste,9.0,298.32
38,2024-03-20,Cliente_014,Notebook,Computadores,Nordeste,2.0,3754.54
39,2024-01-27,Cliente_001,Teclado,Periféricos,Nordeste,8.0,231.33
40,2024-05-14,Cliente_036,Headset,Periféricos,Sudeste,3.0,364.4
41,2024-12-19,Cliente_038,Notebook,Computadores,Norte,2.0,3967.3
42,2024-06-06,Cliente_003,Smartphone,Celulares,Nordeste,7.0,1954.11
43,2024-06-30,Cliente_040,Smartphone,Celulares,Sul,4.0,2310.18
44,2024-03-31,Cliente_022,Smartphone,Celulares,Centro-Oeste,3.0,
45,2024-12-25,Cliente_015,Headset,Periféricos,Sul,4.0,325.51
46,2024-04-26,Cliente_018,Headset,Periféricos,Sudeste,8.0,334.21
47,2024-09-17,Cliente_002,Headset,Periféricos,Sudeste,5.0,334.37
48,2024-05-15,Cliente_021,Tablet,Celulares,Centro-Oeste,,1843.52
49,2024-10-22,Cliente_034,Teclado,Periféricos,Norte,9.0,221.17
50,2024-02-05,Cliente_043,Mouse,Periféricos,Sudeste,4.0,115.11
51,2024-12-07,Cliente_009,Mouse,Periféricos,Sul,5.0,120.26
52,2024-03-30,Cliente_001,Monitor,Computadores,Nordeste,7.0,1263.83
53,2024-10-23,Cliente_044,Tablet,Celulares,Sul,4.0,1762.14
54,2024-03-27,Cliente_040,Teclado,Periféricos,Nordeste,8.0,272.03
55,2024-04-25,Cliente_031,Notebook,Computadores,Norte,4.0,3681.44
56,2024-11-18,Cliente_026,Headset,Periféricos,Sul,2.0,345.32
57,2024-02-24,Cliente_045,Smartphone,Celulares,Norte,1.0,2459.16
58,2024-03-03,Cliente_036,Monitor,Computadores,Norte,1.0,1220.67
59,2024-09-15,Cliente_011,Tablet,Celulares,Centro-Oeste,8.0,1860.83
60,2024-11-22,Cliente_016,Monitor,Computadores,Nordeste,5.0,1290.64
61,2024-04-30,Cliente_009,Monitor,Computadores,Sul,2.0,1276.88
62,2024-12-27,Cliente_030,Smartphone,Celulares,Centro-Oeste,7.0,2328.01
63,2024-07-18,Cliente_049,Notebook,Computadores,Norte,4.0,3849.54
64,2024-06-29,Cliente_027,Monitor,Computadores,Norte,8.0,1022.12
65,2024-04-22,Cliente_025,Mouse,Periféricos,Nordeste,9.0,130.8
66,2024-08-27,Cliente_026,Mouse,Periféricos,Norte,7.0,128.07
67,2024-08-07,Cliente_025,Teclado,Periféricos,Nordeste,1.0,218.8
68,2024-07-13,Cliente_006,Smartphone,Celulares,Centro-Oeste,8.0,2085.72
69,2024-06-28,Cliente_003,Notebook,Computadores,Sudeste,9.0,3029.69
70,2024-11-14,Cliente_037,Smartphone,Celulares,Sul,4.0,2423.89
71,2024-03-26,Cliente_050,Monitor,Computadores,Sul,5.0,1296.08
72,2024-06-08,Cliente_046,Tablet,Celulares,Sul,2.0,1842.49
73,2024-11-17,Cliente_044,Notebook,Computadores,Norte,10.0,3700.15
74,2024-10-16,Cliente_024,Headset,Periféricos,Sudeste,2.0,381.1
75,2024-08-03,Cliente_041,Teclado,Periféricos,Centro-Oeste,6.0,213.45
76,2024-09-24,Cliente_035,Mouse,Periféricos,Centro-Oeste,3.0,117.68
77,2024-10-30,Cliente_006,Monitor,Computadores,Nordeste,7.0,1317.26
78,2024-10-18,Cliente_021, Monitor,Computadores,Sul,4.0,1290.17
79,2024-05-12,Cliente_018,Monitor,Computadores,Norte,4.0,1147.74
80,2024-02-13,Cliente_016,Notebook,Computadores,Centro-Oeste,9.0,3970.47
81,2024-01-09,Cliente_020,Mouse,Periféricos,Norte,8.0,118.13
82,2024-06-25,Cliente_045,Tablet,Celulares,Centro-Oeste,8.0,1828.88
83,2024-03-02,Cliente_049,Tablet,Celulares,Sul,5.0,1665.76
84,2024-05-21,Cliente_019,Smartphone,Celulares,Sudeste,4.0,2357.48
85,2024-07-03,Cliente_018,Headset,Periféricos,Sudeste,4.0,
86,2024-03-05,Cliente_001,Notebook,Computadores,Norte,9.0,3281.74
87,2024-06-23,Cliente_031,Tablet,Celulares,Sudeste,8.0,1788.51
88,2024-02-07,Cliente_037,Headset,Periféricos,Nordeste,2.0,339.57
89,2024-08-01,Cliente_034,Notebook,Computadores,Centro-Oeste,4.0,3099.37
90,2024-10-28,Cliente_040,Monitor,Computadores,Sudeste,8.0,1127.05
91,2024-05-15,Cliente_005,Headset,Periféricos,Sul,4.0,363.18
92,2024-10-31,Cliente_019,Notebook,Computadores,Centro-Oeste,7.0,
93,2024-11-16,Cliente_008,Notebook,Computadores,Norte,4.0,3945.11
94,2024-03-13,Cliente_048,Smartphone,Celulares,Norte,3.0,2469.55
95,2024-12-18,Cliente_035,Tablet,Celulares,Centro-Oeste,8.0,1597.15
96,2024-08-09,Cliente_015, Monitor,Computadores,Norte,2.0,1235.29
97,2024-12-10,Cliente_012,Teclado,Periféricos,Centro-Oeste,1.0,287.47
98,2024-04-02,Cliente_006,Teclado,Periféricos,Centro-Oeste,8.0,281.21
99,2024-12-09,Cliente_032,Tablet,Celulares,Nordeste,7.0,1709.99
100,2024-10-08,Cliente_008,Mouse,Periféricos,Centro-Oeste,,131.29
101,2024-01-01,Cliente_013,Headset,Periféricos,Norte,9.0,384.12
102,2024-11-16,Cliente_009,Tablet,Celulares,Nordeste,10.0,1938.48
103,2024-11-18,Cliente_036,Monitor,Computadores,Sudeste,8.0,1063.71
104,2024-02-28,Cliente_032,Teclado,Periféricos,Nordeste,7.0,219.49
105,2024-09-04,Cliente_025,Teclado,Periféricos,Sul,5.0,243.66
106,2024-03-10,Cliente_027,Teclado,Periféricos,Nordeste,9.0,268.47
107,2024-01-02,Cliente_043,Headset,Periféricos,Centro-Oeste,9.0,325.55
108,2024-09-04,Cliente_030,Headset,Periféricos,Nordeste,3.0,344.39
109,2024-05-02,Cliente_003,Headset,Periféricos,Nordeste,4.0,400.48
110,2024-07-14,Cliente_010,Mouse,Periféricos,Centro-Oeste,8.0,127.39
111,2024-10-29,Cliente_007,Notebook,Computadores,Norte,3.0,3502.41
112,2024-07-28,Cliente_017,Monitor,Computadores,Nordeste,1.0,1280.08
113,2024-06-17,Cliente_021,Teclado,Periféricos,Centro-Oeste,7.0,261.24
114,2024-02-05,Cliente_015,Headset,Periféricos,Sudeste,9.0,301.27
115,2024-12-26,Cliente_002,Monitor,Computadores,Sudeste,2.0,1293.73
116,2024-07-10,Cliente_044,Tablet,Celulares,Sul,1.0,1688.42
117,2024-07-14,Cliente_010,Smartphone,Celulares,Sul,3.0,1922.12
118,2024-12-07,Cliente_044,Monitor,Computadores,Norte,,1185.45
119,2024-06-25,Cliente_045,Smartphone,Celulares,Nordeste,2.0,2161.54
120,2024-07-15,Cliente_023,Monitor,Computadores,Norte,5.0,1091.72
121,2024-12-03,Cliente_050,Tablet,Celulares,Sudeste,5.0,
122,2024-05-26,Cliente_015,Teclado,Periféricos,Sul,8.0,274.96
123,2024-12-03,Cliente_041,Teclado,Periféricos,Sudeste,5.0,263.33
124,2024-07-05,Cliente_048,Tablet,Celulares,Centro-Oeste,8.0,1548.02
125,2024-10-03,Cliente_018,Smartphone,Celulares,Sul,4.0,1957.23
126,2024-05-31,Cliente_005,Tablet,Celulares,Sul,8.0,2052.39
127,2024-12-11,Cliente_024,Headset,Periféricos,Sudeste,4.0,387.81
128,2024-10-01,Cliente_017,Headset,Periféricos,Norte,7.0,298.96
129,2024-04-29,Cliente_021,Monitor,Computadores,Norte,6.0,1059.0
130,2024-08-25,Cliente_009,Smartphone,Celulares,Sudeste,2.0,2289.37
131,2024-02-29,Cliente_030,Notebook,Computadores,Nordeste,5.0,4020.72
132,2024-03-20,Cliente_040,Mouse,Periféricos,Centro-Oeste,9.0,117.09
133,2024-04-21,Cliente_007,Tablet,Celulares,Nordeste,1.0,1902.75
134,2024-05-21,Cliente_030,Teclado,Periféricos,Sudeste,6.0,217.04
135,2024-11-01,Cliente_009,Mouse,Periféricos,Norte,4.0,125.1
136,2024-10-10,Cliente_022,Smartphone,Celulares,Sul,2.0,2417.68
137,2024-03-15,Cliente_008,Headset,Periféricos,Sudeste,10.0,297.8
138,2024-05-01,Cliente_009,Smartphone,Celulares,Centro-Oeste,1.0,
139,2024-08-31,Cliente_029,Teclado,Periféricos,Norte,2.0,268.42
140,2024-12-03,Cliente_004,Smartphone,Celulares,Centro-Oeste,10.0,1898.62
141,2024-02-25,Cliente_006,Headset,Periféricos,Nordeste,7.0,342.26
142,2024-05-20,Cliente_025,Teclado,Periféricos,Norte,3.0,217.43
143,2024-11-05,Cliente_042,Teclado,Periféricos,Norte,5.0,246.53
144,2024-04-26,Cliente_047,Mouse,Periféricos,Sudeste,4.0,117.48
145,2024-05-10,Cliente_005,Tablet,Celulares,Sudeste,7.0,1698.76
146,2024-02-19,Cliente_004,Headset,Periféricos,Norte,2.0,307.29
147,2024-03-03,Cliente_028,Teclado,Periféricos,Sudeste,9.0,237.22
148,2024-02-23,Cliente_015,Tablet,Celulares,Sudeste,10.0,1698.72
149,2024-05-22,Cliente_050,Tablet,Celulares,Norte,9.0,1728.48
150,2024-12-02,Cliente_045,Teclado,Periféricos,Nordeste,9.0,214.47
151,2024-03-14,Cliente_041,Tablet,Celulares,Sudeste,6.0,1533.3
152,2024-08-02,Cliente_021,Notebook,Computadores,Norte,9.0,3200.89
153,2024-03-20,Cliente_018,Teclado,Periféricos,Centro-Oeste,2.0,278.75
154,2024-08-14,Cliente_023,Mouse,Periféricos,Centro-Oeste,7.0,119.48
155,2024-10-30,Cliente_026,Notebook,Computadores,Norte,5.0,3687.13
156,2024-04-18,Cliente_008,Notebook,Computadores,Sudeste,1.0,3189.64
157,2024-07-13,Cliente_043,Monitor,Computadores,Nordeste,7.0,1083.25
158,2024-01-22,Cliente_021,Notebook,Computadores,Norte,7.0,3879.85
159,2024-11-23,Cliente_021, Monitor,Computadores,Sul,10.0,1165.59
160,2024-12-19,Cliente_016,Headset,Periféricos,Centro-Oeste,10.0,345.81
161,2024-07-21,Cliente_050,Teclado,Periféricos,Sul,7.0,251.8
162,2024-09-28,Cliente_047,Notebook,Computadores,Sul,9.0,3639.89
163,2024-04-11,Cliente_005,Smartphone,Celulares,Sul,2.0,1966.65
164,2024-10-15,Cliente_037,Headset,Periféricos,Norte,8.0,346.22
165,2024-02-04,Cliente_038,Tablet,Celulares,Sudeste,6.0,1611.52
166,2024-08-24,Cliente_005,Tablet,Celulares,Sudeste,9.0,1570.06
167,2024-08-24,Cliente_003,Teclado,Periféricos,Centro-Oeste,10.0,250.53
168,2024-06-13,Cliente_029,Headset,Periféricos,Sudeste,10.0,365.94
169,2024-02-13,Cliente_029,Headset,Periféricos,Centro-Oeste,6.0,400.65
170,2024-07-05,Cliente_022,Teclado,Periféricos,Norte,9.0,258.24
171,2024-02-18,Cliente_043,Notebook,Computadores,Norte,6.0,3044.21
172,2024-10-25,Cliente_042,Headset,Periféricos,Centro-Oeste,3.0,332.5
173,2024-02-13,Cliente_009,Smartphone,Celulares,Norte,10.0,2337.83
174,2024-01-10,Cliente_050,Notebook,Computadores,Centro-Oeste,7.0,3508.91
175,2024-03-20,Cliente_050,Smartphone,Celulares,Norte,4.0,2529.98
176,2024-06-21,Cliente_010,Headset,Periféricos,Sul,9.0,301.46
177,2024-03-25,Cliente_047,Smartphone,Celulares,Sul,10.0,2403.97
178,2024-08-17,Cliente_031,Monitor,Computadores,Sul,10.0,1122.57
179,2024-08-24,Cliente_027,Tablet,Celulares,Sul,10.0,2061.6
180,2024-03-11,Cliente_024,Headset,Periféricos,Norte,4.0,381.63
181,2024-05-25,Cliente_033,Notebook,Computadores,Sul,9.0,3868.72
182,2024-04-23,Cliente_027,Headset,Periféricos,Sudeste,7.0,307.13
183,2024-07-16,Cliente_007, Monitor,Computadores,Nordeste,9.0,1154.63
184,2024-05-26,Cliente_049,Headset,Periféricos,Centro-Oeste,3.0,311.95
185,2024-02-10,Cliente_047,Monitor,Computadores,Norte,,1021.89
186,2024-05-27,Cliente_041,Teclado,Periféricos,Norte,7.0,220.84
187,2024-09-12,Cliente_016,Monitor,Computadores,Sul,2.0,
188,2024-06-29,Cliente_006,Tablet,Celulares,Norte,7.0,1530.84
189,2024-10-05,Cliente_025,Tablet,Celulares,Centro-Oeste,2.0,2044.84
190,2024-05-09,Cliente_016,Notebook,Computadores,Sudeste,7.0,4005.09
191,2024-06-19,Cliente_042,Headset,Periféricos,Sul,10.0,374.69
192,2024-09-02,Cliente_050,Headset,Periféricos,Centro-Oeste,8.0,400.49
193,2024-04-12,Cliente_026,Notebook,Computadores,Norte,5.0,3186.67
194,2024-11-27,Cliente_042,Monitor,Computadores,Nordeste,5.0,1033.18
195,2024-08-11,Cliente_025,Tablet,Celulares,Nordeste,2.0,1961.64
196,2024-07-07,Cliente_047,Smartphone,Celulares,Centro-Oeste,8.0,2326.77
197,2024-04-02,Cliente_043,Notebook,Computadores,Nordeste,7.0,3607.58
198,2024-08-06,Cliente_047,Tablet,Celulares,Nordeste,8.0,1855.42
199,2024-01-30,Cliente_048,Teclado,Periféricos,Sul,7.0,233.09
200,2024-12-13,Cliente_050,Notebook,Computadores,Nordeste,3.0,
